-5.00	3.4589
-4.90	3.4325
-4.80	3.3962
-4.70	3.3499
-4.60	3.2937
-4.50	3.2275
-4.40	3.1516
-4.30	3.0662
-4.20	2.9716
-4.10	2.8683
-4.00	2.7568
-3.90	2.6378
-3.80	2.5119
-3.70	2.3798
-3.60	2.2425
-3.50	2.1008
-3.40	1.9555
-3.30	1.8077
-3.20	1.6584
-3.10	1.5084
-3.00	1.3589
-2.90	1.2108
-2.80	1.0650
-2.70	0.9226
-2.60	0.7845
-2.50	0.6515
-2.40	0.5245
-2.30	0.4043
-2.20	0.2915
-2.10	0.1868
-2.00	0.0907
-1.90	0.0037
-1.80	-0.0738
-1.70	-0.1417
-1.60	-0.1996
-1.50	-0.2475
-1.40	-0.2854
-1.30	-0.3136
-1.20	-0.3320
-1.10	-0.3412
-1.00	-0.3415
-0.90	-0.3333
-0.80	-0.3174
-0.70	-0.2942
-0.60	-0.2646
-0.50	-0.2294
-0.40	-0.1894
-0.30	-0.1455
-0.20	-0.0987
-0.10	-0.0498
-0.00	-0.0000
0.10	0.0498
0.20	0.0987
0.30	0.1455
0.40	0.1894
0.50	0.2294
0.60	0.2646
0.70	0.2942
0.80	0.3174
0.90	0.3333
1.00	0.3415
1.10	0.3412
1.20	0.3320
1.30	0.3136
1.40	0.2854
1.50	0.2475
1.60	0.1996
1.70	0.1417
1.80	0.0738
1.90	-0.0037
2.00	-0.0907
2.10	-0.1868
2.20	-0.2915
2.30	-0.4043
2.40	-0.5245
2.50	-0.6515
2.60	-0.7845
2.70	-0.9226
2.80	-1.0650
2.90	-1.2108
3.00	-1.3589
3.10	-1.5084
3.20	-1.6584
3.30	-1.8077
3.40	-1.9555
3.50	-2.1008
3.60	-2.2425
3.70	-2.3798
3.80	-2.5119
3.90	-2.6378
4.00	-2.7568
4.10	-2.8683
4.20	-2.9716
4.30	-3.0662
4.40	-3.1516
4.50	-3.2275
4.60	-3.2937
4.70	-3.3499
4.80	-3.3962
4.90	-3.4325
5.00	-3.4589
